RespondentID;Unique respondent identifer
WEIGHT;Post-stratification weights - 18+ general population in selected FIPs (N=2,000)
P3_Voted_WouldPay;I voted as if my household would face the stated costs
P3_Voted_AsInElection;I am certain that I voted the same way I would if I were voting in a public elec
P3_Voted_Independent;I voted on each proposal without any consideration of the other proposals
P3_Voted_OutcomeAchieved;I voted as if the policies would achieve the stated improvements ...
P3_Voted_InformPolicy;I voted as if the information collected ... will be used to inform policy makers
P3_Importance_Cost;The cost of the policy in additional taxes
P3_Importance_Size;The size of the region affected by the policy
P3_Importance_Local;Whether the policy improved water quality near my home
P3_Importance_WQ;Improvements in the water quality level
P4_Env_Org;Are you currently a member of an environmental organization?
P4_Residency_Cat;How long has your household been living at its current address?
P4_Years_Residence;Years at current address
P4_ConsiderWQ;When you decided to live in your current house or apartment, did you consider th
P4_ConsiderDrinkingWater;When you decided to live in your current house or apartment, did you consider t
P4_Recreation_Trips;In a typical year, do you take one or more trips to visit streams, rivers, or la
P4_FarthestTrip_Cat;In a typical year, what is the farthest you travel (one way) with the main purpo
P4_FarthestTrip;"In a typical year, farthest travel for recreation (miles); =0 if no trips"
P4_RecentTrip;Please think about your most recent trip to a stream, river, or lake. What did y
P4_Trip_Activities;On this trip which activities did you do? Please select all that apply. - Selec
P4_Trip_Activities_Fishing;=1 if selected 'Fishing'
P4_Trip_Activities_Motor;=1 if selected 'Motorized boating'
P4_Trip_Activities_Wildlife;=1 if selected 'Wildlife watching'
P4_Trip_Activities_Boating;=1 if selected 'Non-motorized boating'
P4_Trip_Activities_Swimming;=1 if selected 'Swimming'
P4_Trip_Activities_Walking;=1 if selected 'Walking, running, and/or cycling near the shore'
P4_Trip_Activities_Relaxing;=1 if selected 'Relaxing near the shore'
P4_Trip_Activities_Other;=1 if selected 'Other (please specify)'
P4_Trip_Activities_Other_TEXT;Open-ended response to 'Other (please specify)'
P4_RecentTrip_HowFar;On this trip, how far did you travel to get there (one way)?
P4_RecentTrip_BCG;Using the level 1 (natural state) to level 6 (extreme degradation) categories, h
P4_RecentTrip_WQImportance;In deciding where to go on this recent trip, how important was water quality to
Q_Female;0 Male, 1 Female
Q_Age;Respondent's age, in years
Q_Age_4Cat;Age categories: 1 18-29, 2 30-44, 3 45-59, 4 60+
Q_Age_7Cat;Age categores: 1 18-24, 2 25-34, 3 35-44, 4 45-54, etc.
Q_Race;Combined Race/Ethnicity
Q_Educ_Cat;"Respondent's education: 1 &lt; H.S., 2 HS grad, 3 Vocational, 4 BA/BS, 5 post-grad'"
Q_HighSchool;=1 if H.S. education or higher
Q_Bachelors;=1 if Bachelors degree or higher
Q_Marital_Cat;Marital Status
Q_Married;"=1 if married; =0 otherwise"
Q_Employ_Cat;Current employment status
Q_Employed;=1 if currently employed, =0 otherwise
Q_Retired;=1 if currently retired, =0 otherwise
Q_Income_Cat;"Household income; selected category'"
Q_Income;"Respondent's income, in $1000s; midpoint of selected category"
Q_Income_4Cat;4-level Household Income
Q_Income_9Cat;9-level Household Income
Q_Metro;"=1 if living in metropolitan area; =0 otherwise"
Q_Internet;=1 if household has internet via dial-up, DSL, or cable
Q_Housing_Cat;Home Owndership: 1 owned, 2 rented for cash, 3 occupied without payment
Q_Own_Home;"=1 for home ownership; =0 otherwise"
Q_Home_Type;Type of building of panelists' residence
