ChoiceID,RespondentID,Referendum,HUC8BCG,HUC4BCG_base,HUC4BCG_scenario1,HUC4BCG_scenario2,MediumBCG_base,MediumBCG_scenario1,MediumBCG_scenario2,HUC4BCG_base_NL,HUC4BCG_scenario2_NL,MediumBCG_base_NL,MediumBCG_scenario2_NL,Cost_0,Cost_1,WQ_HUC8_0,WQ_HUC8_1,WQ_HUC4_0,WQ_HUC4_1,WQ_Medium_0,WQ_Medium_1,WQ_Large_0,WQ_Large_1,WQ_HUC4_NL_0,WQ_HUC4_NL_1,WQ_Medium_NL_0,WQ_Medium_NL_1,ASC_PercentInstate_0,ASC_PercentInstate_1,ASC_PercentInstate_NL_0,ASC_PercentInstate_NL_1,choice,ASC_0,ASC_1
2,1,2,3,3.33,2,3,3.31,2,3,2.84,2.84,3.1,2.96,0,20,3,2,3.33,2,0,0,0,0,0,0,0,0,0,99.64577,0,0,1,0,1
4,1,4,3,3.33,2,3,3.31,2,3,2.84,2.84,3.1,2.96,0,75,3,2,3.33,2.65,0,0,0,0,0,0,0,0,0,99.64577,0,0,1,0,1
6,1,6,3,3.33,2,3,3.31,2,3,2.84,2.84,3.1,2.96,0,35,3,2,0,0,3.31,2,0,0,0,0,0,0,0,99.64577,0,0,1,0,1
8,1,8,3,3.33,2,3,3.31,2,3,2.84,2.84,3.1,2.96,0,50,3,2,0,0,3.31,2.61,0,0,0,0,0,0,0,99.64577,0,0,1,0,1
10,1,10,3,3.33,2,3,3.31,2,3,2.84,2.84,3.1,2.96,0,100,3,2,0,0,0,0,3.52,2,0,0,0,0,0,99.64577,0,0,0,0,1
12,1,12,3,3.33,2,3,3.31,2,3,2.84,2.84,3.1,2.96,0,10,3,2,0,0,0,0,3.52,3.11,0,0,0,0,0,99.64577,0,0,1,0,1
14,1,14,3,3.33,2,3,3.31,2,3,2.84,2.84,3.1,2.96,0,50,0,0,0,0,0,0,0,0,2.84,2,0,0,0,0,0,0,1,0,1
16,1,16,3,3.33,2,3,3.31,2,3,2.84,2.84,3.1,2.96,0,20,0,0,0,0,0,0,0,0,2.84,2,0,0,0,0,0,0,1,0,1
18,1,18,3,3.33,2,3,3.31,2,3,2.84,2.84,3.1,2.96,0,10,0,0,0,0,0,0,0,0,0,0,3.1,2,0,0,0,0,1,0,1
20,1,20,3,3.33,2,3,3.31,2,3,2.84,2.84,3.1,2.96,0,400,0,0,0,0,0,0,0,0,0,0,3.1,2.28,0,0,0,0,0,0,1
25,2,5,4,3.72,2,3,3.77,2,3,3.47,3,3.56,3,0,150,4,3,0,0,3.77,2.77,0,0,0,0,0,0,0,9.921912,0,0,0,0,1
26,2,6,4,3.72,2,3,3.77,2,3,3.47,3,3.56,3,0,75,4,2,0,0,3.77,2,0,0,0,0,0,0,0,9.921912,0,0,1,0,1
27,2,7,4,3.72,2,3,3.77,2,3,3.47,3,3.56,3,0,75,4,3,0,0,3.77,3,0,0,0,0,0,0,0,9.921912,0,0,1,0,1
28,2,8,4,3.72,2,3,3.77,2,3,3.47,3,3.56,3,0,75,4,4,0,0,3.77,3.5,0,0,0,0,0,0,0,9.921912,0,0,1,0,1
29,2,9,4,3.72,2,3,3.77,2,3,3.47,3,3.56,3,0,20,4,3,0,0,0,0,3.52,2.52,0,0,0,0,0,9.921912,0,0,1,0,1
30,2,10,4,3.72,2,3,3.77,2,3,3.47,3,3.56,3,0,5,4,2,0,0,0,0,3.52,2,0,0,0,0,0,9.921912,0,0,1,0,1
31,2,11,4,3.72,2,3,3.77,2,3,3.47,3,3.56,3,0,400,4,3,0,0,0,0,3.52,2.94,0,0,0,0,0,9.921912,0,0,0,0,1
32,2,12,4,3.72,2,3,3.77,2,3,3.47,3,3.56,3,0,200,4,4,0,0,0,0,3.52,3.11,0,0,0,0,0,9.921912,0,0,0,0,1
41,3,1,4,4.01,2,3,3.77,2,3,3,3,3.31,3,0,200,4,3,4.01,3.01,0,0,0,0,0,0,0,0,0,88.94415,0,0,1,0,1
42,3,2,4,4.01,2,3,3.77,2,3,3,3,3.31,3,0,50,4,2,4.01,2,0,0,0,0,0,0,0,0,0,88.94415,0,0,1,0,1
43,3,3,4,4.01,2,3,3.77,2,3,3,3,3.31,3,0,200,4,3,4.01,3,0,0,0,0,0,0,0,0,0,88.94415,0,0,1,0,1
44,3,4,4,4.01,2,3,3.77,2,3,3,3,3.31,3,0,35,4,4,4.01,3.93,0,0,0,0,0,0,0,0,0,88.94415,0,0,1,0,1
49,3,9,4,4.01,2,3,3.77,2,3,3,3,3.31,3,0,400,4,3,0,0,0,0,3.52,2.52,0,0,0,0,0,88.94415,0,0,1,0,1
50,3,10,4,4.01,2,3,3.77,2,3,3,3,3.31,3,0,5,4,2,0,0,0,0,3.52,2,0,0,0,0,0,88.94415,0,0,1,0,1
51,3,11,4,4.01,2,3,3.77,2,3,3,3,3.31,3,0,400,4,3,0,0,0,0,3.52,2.94,0,0,0,0,0,88.94415,0,0,1,0,1
52,3,12,4,4.01,2,3,3.77,2,3,3,3,3.31,3,0,200,4,4,0,0,0,0,3.52,3.11,0,0,0,0,0,88.94415,0,0,0,0,1
62,5,2,4,3.96,2,3,3.87,2,2.98,4.01,3,3.77,3,0,400,4,2,3.96,2,0,0,0,0,0,0,0,0,0,62.063095,0,0,1,0,1
63,5,3,4,3.96,2,3,3.87,2,2.98,4.01,3,3.77,3,0,75,4,3,3.96,3,0,0,0,0,0,0,0,0,0,62.063095,0,0,0,0,1
66,5,6,4,3.96,2,3,3.87,2,2.98,4.01,3,3.77,3,0,200,4,2,0,0,3.87,2,0,0,0,0,0,0,0,62.063095,0,0,1,0,1
67,5,7,4,3.96,2,3,3.87,2,2.98,4.01,3,3.77,3,0,200,4,3,0,0,3.87,2.98,0,0,0,0,0,0,0,62.063095,0,0,0,0,1
70,5,10,4,3.96,2,3,3.87,2,2.98,4.01,3,3.77,3,0,35,4,2,0,0,0,0,3.52,2,0,0,0,0,0,62.063095,0,0,1,0,1
71,5,11,4,3.96,2,3,3.87,2,2.98,4.01,3,3.77,3,0,5,4,3,0,0,0,0,3.52,2.94,0,0,0,0,0,62.063095,0,0,1,0,1
74,5,14,4,3.96,2,3,3.87,2,2.98,4.01,3,3.77,3,0,200,0,0,0,0,0,0,0,0,4.01,2,0,0,0,0,0,0,0,0,1
75,5,15,4,3.96,2,3,3.87,2,2.98,4.01,3,3.77,3,0,10,0,0,0,0,0,0,0,0,4.01,3,0,0,0,0,0,0,1,0,1
78,5,18,4,3.96,2,3,3.87,2,2.98,4.01,3,3.77,3,0,75,0,0,0,0,0,0,0,0,0,0,3.77,2,0,0,0,0,0,0,1
79,5,19,4,3.96,2,3,3.87,2,2.98,4.01,3,3.77,3,0,50,0,0,0,0,0,0,0,0,0,0,3.77,3,0,0,0,0,0,0,1
81,6,1,4,3.21,2,3,3.13,2,2.86,3.58,2.93,3.87,2.98,0,5,4,3,3.21,2.21,0,0,0,0,0,0,0,0,0,34.765198,0,0,1,0,1
82,6,2,4,3.21,2,3,3.13,2,2.86,3.58,2.93,3.87,2.98,0,150,4,2,3.21,2,0,0,0,0,0,0,0,0,0,34.765198,0,0,1,0,1
